#NUM_CLUSTERS	BEST_OBJ	ELBOW_OR_SILHOUETTE_SCORE	SELECTED	
5	21364.727668298732	-0.7133834929100877	False
6	4841.599959117066	-1.003299916207292	False
7	-306.4728717213387	-0.9959550827771673	False
8	-630.0944583488011	-0.07033926981118271	False
9	-712.2205099620566	0.06	True
10	-712.2205099620566	-0.03310854145359919	False
11	-735.8010922402389	-0.001966637913661834	False
12	-761.6094475291918	NaN	False
